"자치구별(1)",자치구별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력
"자치구별(1)",자치구별(2),발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거
"합계",소계,92679,66548,141,126,138,132,5763,5458,38293,19705,48344,41127
"합계",종로구,3102,3343,9,7,7,9,192,855,1183,944,1711,1528
"합계",중구,3411,2323,2,2,5,6,186,128,1642,863,1576,1324
"합계",용산구,2969,2056,5,3,6,6,230,186,1111,534,1617,1327
"합계",성동구,2362,1774,5,5,3,3,115,98,1016,565,1223,1103
"합계",광진구,3601,2511,2,2,4,4,255,224,1664,874,1676,1407
"합계",동대문구,3401,2465,10,8,6,5,161,142,1440,713,1784,1597
"합계",중랑구,3726,2781,10,9,5,6,183,153,1506,889,2022,1724
"합계",성북구,2567,1947,4,4,3,2,142,121,988,580,1430,1240
"합계",강북구,2770,2259,9,8,5,4,159,132,780,490,1817,1625
"합계",도봉구,2179,1490,-,-,2,2,82,87,861,379,1234,1022
"합계",노원구,3743,2581,4,3,3,3,169,148,1404,646,2163,1781
"합계",은평구,3390,2531,4,4,4,3,171,145,1371,756,1840,1623
"합계",서대문구,2533,1706,3,3,2,1,159,149,1077,524,1292,1029
"합계",마포구,3688,2534,9,8,4,3,348,287,1483,679,1844,1557
"합계",양천구,3216,2086,5,5,3,3,109,90,1517,718,1582,1270
"합계",강서구,4415,3393,10,9,6,5,265,222,1689,1070,2445,2087
"합계",구로구,4175,2984,6,6,5,5,197,142,1763,1008,2204,1823
"합계",금천구,2598,1966,4,4,7,6,117,93,999,553,1471,1310
"합계",영등포구,5217,3371,7,4,6,5,315,252,2188,953,2701,2157
"합계",동작구,3200,2086,1,1,1,2,226,121,1341,592,1631,1370
"합계",관악구,5261,3858,12,12,3,3,403,351,2229,1137,2614,2355
"합계",서초구,4601,3052,5,5,6,4,396,303,2021,960,2173,1780
"합계",강남구,7356,5245,6,5,14,11,708,627,2951,1491,3677,3111
"합계",송파구,5410,3544,6,6,13,17,287,235,2429,1006,2675,2280
"합계",강동구,3788,2662,3,3,15,14,188,167,1640,781,1942,1697
